title,category,integration_status,soroban,github_url,total_awarded_usd
0xAuth,Infrastructure & Services,Testnet,True,https://github.com/authentication-labs/0xauth-stellar,135000.0
Moonlight Protocol,Infrastructure & Services,Development,True,https://github.com/Moonlight-Protocol,134990.0
MUWPAY,Applications,Mainnet,True,https://github.com/Muwpay-uniswapper/Muwp-Stellar,133950.0
Hana Wallet,Applications,Mainnet,True,https://github.com/Hana-Technology,132000.0
Spydra-Low code RWA Tokenization engine,Applications,Development,True,https://github.com/spydra-tech/erc3643,132000.0
Lumen Later,Financial Protocols,Development,True,https://github.com/lumenlater/lumen-later,131550.0
Content DAO,Applications,Mainnet,True,https://github.com/ContentDAO,130000.0
dolphinze,Infrastructure & Services,Development,False,https://gitlab.com/dolphinze/disbursements,129800.0
Unstoppable Wallet,Infrastructure & Services,Mainnet,False,https://github.com/horizontalsystems/StellarKit.Swift / https://github.com/horizontalsystems/stellar-kit-android,128900.0
Sentinel Protocol,Applications,Development,True,https://github.com/SentinelFi,128000.0
Goldsky,Infrastructure & Services,Mainnet,True,https://github.com/indexed-xyz/docs,128000.0
Aerochain,Infrastructure & Services,Development,True,https://github.com/SebWingleet/Aerochain-Stellar,128000.0
Identity Operating System (idOS),Developer Tooling,Mainnet,True,https://github.com/idos-network/idos-sdk-js,125000.0
YieldBack.Cash,Financial Protocols,Development,True,https://github.com/YieldBack-Cash/ybc-contracts,125000.0
Gearup - Marketplace,Applications,Mainnet,True,https://github.com/Gearup-Market,124500.0
Mobula Labs,Infrastructure & Services,Development,True,https://github.com/MobulaFi,122000.0
Balanced,Financial Protocols,Mainnet,True,https://github.com/balancednetwork,122000.0
Agnostic,Infrastructure & Services,Development,True,https://github.com/agnosticeng/ch-stellar,121000.0
Stellar Attestation Service,Infrastructure & Services,Mainnet,True,https://github.com/daccred/attest.so,120550.0
Flow,Infrastructure & Services,Mainnet,True,https://github.com/withObsrvr/flowctl,120000.0
Flashback,Infrastructure & Services,Development,True,https://github.com/flashbacknetwork/FlashOnStellar,120000.0
RendBit,Financial Protocols,Mainnet,False,https://github.com/rendbit,120000.0
Stellars Finance: Cross-Chain Perpetuals,Financial Protocols,Development,False,https://github.com/stellarsfinance,119300.0
Kwickbit,Applications,Mainnet,True,https://github.com/kwickbit,119000.0
HedgePay,Applications,Development,False,https://github.com/hedgepayapp,118600.0
Sollpay: Keyless ZK Wallet + Stellar,Applications,Development,True,https://github.com/Mercury-Labs-Dev/stellar-sollpay,118000.0
Laina,Financial Protocols,Development,True,https://github.com/laina-defi/laina,115000.0
A real estate tokenization platform,Applications,Development,True,https://github.com/The-Brookes-Project/soroban-sc/tree/main/contracts/token/src,112020.0
Swift Wallet SDK,Developer Tooling,Mainnet,False,https://github.com/Soneso/stellar-swift-wallet-sdk,111800.0
Soroban Governor,Developer Tooling,Mainnet,True,https://github.com/script3/soroban-governor,111300.0
DomiPago,Applications,Development,True,https://github.com/melomar10/domipago,110000.0
